file_name,bend_ratio,velocity,density,size,stokes,max_erosion,avg_erosion_s01
2436.csv,2.0,18,10000,500,98.13080443708245,321.47003098604046,36.79349435261351
2441.csv,2.0,18,15000,50,1.4719620665562367,125.21604999999995,6.98193838778214
2442.csv,2.0,18,15000,100,5.887848266224947,164.3331617647059,16.32072173919132
2443.csv,2.0,18,15000,150,13.247658599006131,198.76317148362227,25.1443847425697
2444.csv,2.0,18,15000,200,23.551393064899788,255.0896670085977,32.452021485092004
2445.csv,2.0,18,15000,300,52.990634396024525,331.418579802455,40.031836707246484
2446.csv,2.0,18,15000,500,147.19620665562368,389.12321755027415,47.65020916773251
2451.csv,2.0,18,30000,50,2.9439241331124735,164.9503461538461,18.627003893168293
2452.csv,2.0,18,30000,100,11.775696532449894,264.98152671755724,34.38493778192797
2453.csv,2.0,18,30000,150,26.495317198012263,371.7197138069148,45.38616919982071
2454.csv,2.0,18,30000,200,47.102786129799576,430.8147882696108,53.33384842150822
2455.csv,2.0,18,30000,300,105.98126879204905,491.0906232879445,60.34532307318485
2456.csv,2.0,18,30000,500,294.39241331124737,548.9662971857196,66.32313381485744
2511.csv,2.0,20,2000,50,0.21806845430462765,71.44063999999993,0.1532197894279804
2512.csv,2.0,20,2000,100,0.8722738172185106,107.39751999999993,0.7785742903937285
2513.csv,2.0,20,2000,150,1.962616088741649,86.13854999999997,1.7745971661583466
2514.csv,2.0,20,2000,200,3.4890952688740424,80.48309,2.9714115060437902
2515.csv,2.0,20,2000,300,7.850464354966596,100.96309473684208,4.82637813540427
2516.csv,2.0,20,2000,500,21.80684543046277,118.20791176470583,7.939268443827533
2521.csv,2.0,20,5000,50,0.5451711357615692,225.69916999999998,1.639829832165027
2522.csv,2.0,20,5000,100,2.1806845430462767,225.69916999999998,4.888631990813327
2523.csv,2.0,20,5000,150,4.906540221854122,117.99836585365846,8.774705393287093
2524.csv,2.0,20,5000,200,8.722738172185107,131.4825542168674,12.97649125554982
2525.csv,2.0,20,5000,300,19.62616088741649,160.41538333333332,18.724624740606885
2526.csv,2.0,20,5000,500,54.51711357615692,210.0290594498669,26.720866204912927
2531.csv,2.0,20,10000,50,1.0903422715231383,169.69942999999998,5.463756931522184
2532.csv,2.0,20,10000,100,4.361369086092553,170.9172058823529,13.160735415564028
2533.csv,2.0,20,10000,150,9.813080443708245,172.5538674033148,21.44001340758699
2534.csv,2.0,20,10000,200,17.445476344370213,205.60706422018347,29.141173289969725
2535.csv,2.0,20,10000,300,39.25232177483298,303.28834224598927,37.971190129339405
2536.csv,2.0,20,10000,500,109.03422715231385,389.05845673505803,47.810713977017066
2541.csv,2.0,20,15000,50,1.6355134072847073,131.07131999999996,9.895605550560207
2542.csv,2.0,20,15000,100,6.542053629138829,210.27115789473683,21.993139102834487
2543.csv,2.0,20,15000,150,14.719620665562365,237.93559870550155,33.2334711409561
2544.csv,2.0,20,15000,200,26.168214516555317,315.53082191780817,42.58381895921717
2545.csv,2.0,20,15000,300,58.87848266224946,400.85955300127716,52.22391527912226
2546.csv,2.0,20,15000,500,163.55134072847076,503.1382908792111,61.85500653139197
2551.csv,2.0,20,30000,50,3.2710268145694146,198.03878260869558,25.56408064843672
2552.csv,2.0,20,30000,100,13.084107258277658,341.13896802325576,45.66267017497228
2553.csv,2.0,20,30000,150,29.43924133112473,457.93114613180506,59.56522251619734
2554.csv,2.0,20,30000,200,52.33642903311063,533.367497168743,69.63190489457388
2555.csv,2.0,20,30000,300,117.75696532449892,617.5081981212638,78.43067539674081
2556.csv,2.0,20,30000,500,327.1026814569415,678.6355593607306,85.93876975372801
3111.csv,5.0,5,2000,50,0.05451711357615691,2.8650599999999984,1.6547095117218636e-05
3112.csv,5.0,5,2000,100,0.21806845430462765,2.8978899999999976,8.978028525512651e-05
3113.csv,5.0,5,2000,150,0.49065402218541226,2.8978899999999976,0.0004226751207894744
3114.csv,5.0,5,2000,200,0.8722738172185106,2.8650599999999984,0.001572334899182297
3115.csv,5.0,5,2000,300,1.962616088741649,2.8650599999999984,0.006244917884407936
3116.csv,5.0,5,2000,500,5.451711357615692,1.7757082999999996,0.023020981419762745
3121.csv,5.0,5,5000,50,0.1362927839403923,3.9117161999999994,0.00012587894591670095
3122.csv,5.0,5,5000,100,0.5451711357615692,3.9117161999999994,0.001386591730937014
3123.csv,5.0,5,5000,150,1.2266350554635306,3.9117161999999994,0.0069658843415865935
3124.csv,5.0,5,5000,200,2.1806845430462767,3.9117161999999994,0.018511184320012718
3125.csv,5.0,5,5000,300,4.906540221854122,4.073781499999998,0.046709938583010736
3126.csv,5.0,5,5000,500,13.62927839403923,5.55602914285714,0.1051082699398502
3131.csv,5.0,5,10000,50,0.2725855678807846,2.913053,0.000811424254669261
3132.csv,5.0,5,10000,100,1.0903422715231383,2.913053,0.011590776045249431
3133.csv,5.0,5,10000,150,2.453270110927061,2.913053,0.03962436275235437
3134.csv,5.0,5,10000,200,4.361369086092553,3.8206512499999965,0.08509436291935767
3135.csv,5.0,5,10000,300,9.813080443708245,4.912383571428567,0.16312632703786334
3136.csv,5.0,5,10000,500,27.25855678807846,4.941925276153345,0.26625338770144674
3141.csv,5.0,5,15000,50,0.4088783518211768,2.161856199999996,0.0034872249241014765
3142.csv,5.0,5,15000,100,1.6355134072847073,2.1060320999999993,0.03585797365342859
3143.csv,5.0,5,15000,150,3.6799051663905913,6.460156399999999,0.10219258541110551
3144.csv,5.0,5,15000,200,6.542053629138829,6.469626499999997,0.192939036133838
3145.csv,5.0,5,15000,300,14.719620665562365,5.507592183517414,0.31440241127673724
3146.csv,5.0,5,15000,500,40.88783518211769,7.99265125,0.4478067686709346
3151.csv,5.0,5,30000,50,0.8177567036423536,2.16890457142857,0.048460213481478956
3152.csv,5.0,5,30000,100,3.2710268145694146,5.367688666666666,0.22898986845760325
3153.csv,5.0,5,30000,150,7.359810332781183,6.024255577689243,0.45034952954630564
3154.csv,5.0,5,30000,200,13.084107258277658,8.814791277258566,0.6444162927584448
3155.csv,5.0,5,30000,300,29.43924133112473,11.84107425742574,0.8284635797962193
3156.csv,5.0,5,30000,500,81.77567036423538,14.987842064714947,1.0014072023562859
